iter	MultiClass
0	1.670243736
1	1.474380524
2	1.34164503
3	1.233008182
4	1.122051859
5	1.045475873
6	0.9709224996
7	0.9081947401
8	0.85823301
9	0.8130142053
10	0.768569852
11	0.7327612673
12	0.7001484296
13	0.6701497587
14	0.6460895061
15	0.6168332004
16	0.5937911623
17	0.5734735186
18	0.5575116907
19	0.5379678619
20	0.5198499298
21	0.5029896755
22	0.4880066676
23	0.4746702397
24	0.4598190183
25	0.4492059308
26	0.441404136
27	0.4320422622
28	0.4267132841
29	0.4206578501
30	0.4134014599
31	0.4057476289
32	0.3990074646
33	0.394666546
34	0.3912686683
35	0.3857375601
36	0.3794244174
37	0.373896633
38	0.369966048
39	0.3646906103
40	0.3613098026
41	0.3569973843
42	0.3542545534
43	0.3511971203
44	0.347741969
45	0.3457066914
46	0.3438526306
47	0.3395579468
48	0.3352979037
49	0.3323886701
50	0.3282965505
51	0.3246870412
52	0.3223184365
53	0.3191105547
54	0.3158832439
55	0.3130010452
56	0.3114853197
57	0.3098767757
58	0.3074776725
59	0.3050025543
60	0.3028186111
61	0.3002250773
62	0.2986433044
63	0.2972919797
64	0.296224332
65	0.2939992917
66	0.2920136335
67	0.2900795864
68	0.2888961229
69	0.2883982502
70	0.2867909534
71	0.2855790254
72	0.2835546115
73	0.2815811358
74	0.280110807
75	0.2785508062
76	0.2772668088
77	0.2762695538
78	0.2746011248
79	0.2740083648
80	0.2736686544
81	0.2723228985
82	0.271796213
83	0.2703939812
84	0.2685358639
85	0.2678490448
86	0.2668096767
87	0.2661030922
88	0.2644594753
89	0.2636035867
90	0.2621053501
91	0.2612573882
92	0.2602243658
93	0.2591723616
94	0.2583791491
95	0.2574051907
96	0.256734534
97	0.2560150534
98	0.255658634
99	0.2542162652
100	0.2532490191
101	0.2523970635
102	0.2513501479
103	0.2501633417
104	0.2493780414
105	0.2483878215
106	0.2479572906
107	0.2472744268
108	0.2465488944
109	0.245789979
110	0.2447553771
111	0.2437415395
112	0.2432503891
113	0.2429687921
114	0.2423352337
115	0.2418888353
116	0.2412358089
117	0.2410003985
118	0.2403685766
119	0.239872956
120	0.2396042072
121	0.2389746292
122	0.2385317842
123	0.2382058658
124	0.2380172948
125	0.2373503287
126	0.2372238745
127	0.2369136691
128	0.236547637
129	0.236455295
130	0.2359038945
131	0.2352109294
132	0.2350353615
133	0.2344811431
134	0.2343693325
135	0.234117514
136	0.2338328966
137	0.2331222286
138	0.2330200266
139	0.2328879079
140	0.2322241633
141	0.2320747206
142	0.231435638
143	0.2312721694
144	0.2310166186
145	0.2306365938
146	0.23051673
147	0.2303388948
148	0.230191612
149	0.2294646154
150	0.2291406524
151	0.2284667758
152	0.228096803
153	0.2277819059
154	0.227420515
155	0.2273333927
156	0.227215744
157	0.2268892822
158	0.22615922
159	0.2256238084
160	0.2252768522
161	0.2243629114
162	0.2242774817
163	0.2241496691
164	0.2238246847
165	0.2235098209
166	0.2234388323
167	0.2230197195
168	0.2225007077
169	0.2223792227
170	0.2222747
171	0.2217037549
172	0.2215913943
173	0.2215074585
174	0.2213700915
175	0.2211328047
176	0.2210395286
177	0.22094691
178	0.2204987444
179	0.2202928058
180	0.220191611
181	0.2201056053
182	0.2200018493
183	0.2198665806
184	0.2196632134
185	0.2191954152
186	0.2191127145
187	0.2190224376
188	0.2187434328
189	0.2184336866
190	0.2179998777
191	0.2179501399
192	0.2178757274
193	0.217847279
194	0.2174184716
195	0.2173372976
196	0.2172847462
197	0.2172274239
198	0.2171458515
199	0.2168753269
200	0.2167627736
201	0.2165555759
202	0.2161858618
203	0.2158185716
204	0.2157588208
205	0.2152812243
206	0.2150812711
207	0.2149771246
208	0.2149353372
209	0.2145800719
210	0.2145524272
211	0.2142038705
212	0.2141354673
213	0.2138453429
214	0.2136418021
215	0.213550679
216	0.2134901897
217	0.2130208829
218	0.2126075505
219	0.2122689353
220	0.2120556803
221	0.2119620669
222	0.2118794508
223	0.2115579999
224	0.2113332856
225	0.2112493707
226	0.2109649674
227	0.2109299541
228	0.2108841023
229	0.2107839826
230	0.2107079735
231	0.2106502354
232	0.2106104864
233	0.2103967841
234	0.2103816513
235	0.2103029597
236	0.2102732287
237	0.210043161
238	0.2097693732
239	0.209694439
240	0.2095485215
241	0.2094877475
242	0.2092802077
243	0.2088687268
244	0.208774487
245	0.2085753344
246	0.2083425443
247	0.2083123256
248	0.2081395915
249	0.2080738232
250	0.2079033257
251	0.2078597346
252	0.2078301343
253	0.2077576947
254	0.2075763112
255	0.2073821661
256	0.2069093161
257	0.2067336145
258	0.2066894312
259	0.2066297618
260	0.2066066557
261	0.2064234816
262	0.2063866461
263	0.2063590785
264	0.2062956876
265	0.2062547044
266	0.2061986244
267	0.206106406
268	0.2060601538
269	0.2060129608
270	0.2059718772
271	0.2059086441
272	0.2058625634
273	0.2058100992
274	0.2057050462
275	0.205680216
276	0.2053327983
277	0.2051826321
278	0.2049207915
279	0.2048969932
280	0.2048838896
281	0.2048527616
282	0.2048127729
283	0.2046168845
284	0.204387586
285	0.2040987024
286	0.2040715884
287	0.2037958674
288	0.2035416087
289	0.2034991906
290	0.2034694677
291	0.2034419442
292	0.203408235
293	0.2032230039
294	0.2031209096
295	0.2030902147
296	0.2028939738
297	0.2028375654
298	0.2028034045
299	0.2027813082
300	0.2026635436
301	0.2023616842
302	0.2023464125
303	0.2023174488
304	0.2022166043
305	0.202086294
306	0.2020609752
307	0.2020325096
308	0.2019599153
309	0.2018216268
310	0.2017784351
311	0.2017142456
312	0.2016828523
313	0.2014888262
314	0.2014582209
315	0.2014175294
316	0.2013903554
317	0.2013672798
318	0.2012879679
319	0.2011799242
320	0.2011350771
321	0.201110758
322	0.2010903865
323	0.200875894
324	0.2007139111
325	0.2006790181
326	0.2006550224
327	0.2005355993
328	0.2005270578
329	0.2005140085
330	0.2004723669
331	0.2003186818
332	0.2003009561
333	0.2002544839
334	0.2002342861
335	0.2002261506
336	0.2001871944
337	0.1999761421
338	0.1999564374
339	0.1999452476
340	0.1997568672
341	0.1997278835
342	0.1996664657
343	0.19963939
344	0.1996160735
345	0.1995997107
346	0.1994303102
347	0.199195705
348	0.1991840504
349	0.1991158452
350	0.1990310758
351	0.198979242
352	0.1989632012
353	0.1989475715
354	0.1986206738
355	0.1983614455
356	0.1983538061
357	0.1983153669
358	0.1983044626
359	0.1982724081
360	0.1981373655
361	0.198100326
362	0.1980675622
363	0.1980542969
364	0.1980439778
365	0.19799658
366	0.1979400003
367	0.1977808765
368	0.1976633731
369	0.1976526499
370	0.197376472
371	0.1973414286
372	0.1973110856
373	0.1972346481
374	0.1971768436
375	0.1971423908
376	0.1970975596
377	0.1970868404
378	0.1970660643
379	0.196921225
380	0.1966874514
381	0.1966641781
382	0.1966407319
383	0.19662518
384	0.1966097754
385	0.1965585143
386	0.1962596629
387	0.1962138971
388	0.1961889043
389	0.1961610855
390	0.1960680023
391	0.1960494923
392	0.1960343706
393	0.1959633493
394	0.1959559698
395	0.1958434475
396	0.1958339028
397	0.1958258205
398	0.1958205224
399	0.1957936957
400	0.1957576974
401	0.1956820659
402	0.1956334915
403	0.1955581729
404	0.1955501776
405	0.1955330558
406	0.195520533
407	0.1954986886
408	0.1954769887
409	0.1954676965
410	0.1954467978
411	0.1954349211
412	0.1954243539
413	0.1954170909
