iter	Passed	Remaining
0	12	11993
1	22	11221
2	32	10951
3	43	10808
4	53	10744
5	64	10767
6	76	10782
7	85	10655
8	96	10614
9	107	10672
10	118	10615
11	128	10605
12	139	10573
13	149	10538
14	160	10521
15	170	10515
16	182	10526
17	193	10550
18	203	10508
19	214	10495
20	224	10470
21	234	10437
22	245	10431
23	255	10402
24	266	10384
25	276	10372
26	287	10346
27	297	10323
28	307	10290
29	317	10264
30	327	10242
31	338	10228
32	348	10198
33	357	10169
34	367	10135
35	377	10103
36	387	10091
37	397	10068
38	408	10062
39	418	10037
40	427	10009
41	437	9987
42	447	9962
43	457	9942
44	467	9926
45	477	9897
46	487	9883
47	497	9874
48	507	9858
49	517	9833
50	527	9822
51	537	9804
52	547	9785
53	557	9770
54	567	9759
55	578	9754
56	588	9738
57	598	9719
58	608	9706
59	618	9690
60	628	9679
61	639	9672
62	649	9658
63	659	9642
64	669	9628
65	679	9614
66	689	9606
67	699	9590
68	709	9570
69	718	9546
70	728	9529
71	738	9512
72	748	9502
73	758	9492
74	768	9479
75	779	9473
76	789	9465
77	799	9454
78	810	9447
79	820	9435
80	830	9423
81	841	9415
82	850	9397
83	861	9399
84	872	9390
85	882	9377
86	892	9362
87	902	9349
88	912	9341
89	923	9333
90	933	9325
91	943	9316
92	954	9305
93	964	9296
94	974	9283
95	984	9270
96	994	9255
97	1004	9244
98	1014	9235
99	1025	9226
100	1035	9213
101	1046	9211
102	1056	9198
103	1067	9194
104	1078	9189
105	1088	9179
106	1098	9167
107	1108	9158
108	1119	9149
109	1129	9142
110	1140	9133
111	1150	9122
112	1160	9106
113	1171	9101
114	1180	9088
115	1191	9082
116	1202	9072
117	1212	9063
118	1222	9050
119	1232	9040
120	1243	9030
121	1253	9018
122	1263	9007
123	1273	8996
124	1284	8991
125	1294	8981
126	1305	8970
127	1315	8960
128	1325	8949
129	1336	8941
130	1346	8931
131	1356	8922
132	1367	8912
133	1376	8899
134	1387	8889
135	1398	8881
136	1408	8869
137	1418	8858
138	1428	8850
139	1439	8839
140	1449	8832
141	1460	8823
142	1470	8810
143	1480	8801
144	1489	8785
145	1499	8770
146	1509	8759
147	1519	8748
148	1530	8738
149	1539	8726
150	1550	8717
151	1560	8705
152	1570	8695
153	1581	8685
154	1590	8670
155	1600	8661
156	1611	8650
157	1621	8640
158	1631	8631
159	1643	8625
160	1653	8614
161	1663	8604
162	1673	8592
163	1683	8583
164	1694	8572
165	1703	8560
166	1714	8549
167	1724	8538
168	1734	8527
169	1744	8515
170	1754	8503
171	1764	8496
172	1775	8488
173	1786	8479
174	1796	8470
175	1807	8460
176	1817	8451
177	1828	8444
178	1839	8435
179	1849	8424
180	1859	8415
181	1870	8405
182	1880	8397
183	1892	8390
184	1902	8383
185	1913	8372
186	1924	8365
187	1933	8352
188	1943	8338
189	1953	8326
190	1963	8317
191	1973	8307
192	1984	8298
193	1995	8290
194	2005	8277
195	2015	8268
196	2026	8259
197	2036	8248
198	2047	8241
199	2057	8229
200	2067	8219
201	2077	8208
202	2087	8197
203	2098	8187
204	2108	8176
205	2118	8166
206	2128	8155
207	2139	8145
208	2149	8136
209	2160	8126
210	2171	8118
211	2181	8107
212	2191	8097
213	2202	8088
214	2213	8080
215	2223	8069
216	2233	8058
217	2244	8050
218	2254	8041
219	2264	8030
220	2275	8020
221	2286	8011
222	2296	8001
223	2307	7992
224	2317	7981
225	2328	7973
226	2338	7962
227	2348	7951
228	2358	7941
229	2369	7931
230	2379	7919
231	2389	7911
232	2400	7901
233	2410	7891
234	2421	7884
235	2432	7875
236	2443	7866
237	2453	7855
238	2463	7845
239	2474	7835
240	2484	7825
241	2495	7815
242	2505	7804
243	2515	7792
244	2525	7783
245	2536	7773
246	2546	7762
247	2556	7753
248	2567	7743
249	2578	7734
250	2588	7724
251	2599	7714
252	2609	7705
253	2620	7695
254	2630	7684
255	2640	7675
256	2651	7665
257	2662	7656
258	2672	7646
259	2683	7636
260	2693	7627
261	2703	7616
262	2714	7607
263	2724	7596
