,Init Bwd Win Bytes,Init Fwd Win Bytes,Flow Packets/s,Packet Length Variance,Flow Bytes/s,Flow IAT Mean,Idle Mean,Idle Max,Bwd IAT Min,Idle Min,Label
1293277,-1,-1,20618.5567,76.8,824742.268,64.666664,0.0,0,49,0,0
363148,-1,-1,21857.9234972678,456.3,1431693.98907104,61.0,0.0,0,4,0,0
1837616,-1,-1,14336.91756,4915.2,1921146.953,93.0,0.0,0,49,0,0
545710,-1,-1,83.01683166,1306.8,6475.31287,16061.0,0.0,0,48,0,0
324406,-1,-1,62.9257319049192,691.2,4027.24684191483,21189.0,0.0,0,4,0,0
946552,-1,-1,71.79008579,874.8,5025.306005,18572.666,0.0,0,2,0,0
729172,-1,436,9259.259259,0.0,0.0,216.0,0.0,0,0,0,0
614422,29,229,83.49684799,0.0,0.0,23953.0,0.0,0,0,0,0
17441,-1,233,106.025799611239,0.0,636.154797667432,14147.5,0.0,0,0,0,0
936068,-1,-1,20304.56853,750.0,1401015.228,65.666664,0.0,0,48,0,0
73052,-1,-1,66.0153155532083,0.0,3168.735146554,30296.0,0.0,0,0,0,0
1217429,253,4,125000.0,0.0,750000.0,16.0,0.0,0,0,0,0
41620,-1,-1,63.955998273188,4915.2,7035.15981005069,20847.666,0.0,0,3,0,0
1736606,-1,-1,16194.33198,1080.0,1101214.575,82.333336,0.0,0,49,0,0
82139,65,65535,54.3295194010714,90141.93,7298.26543954392,19720.928,0.0,0,47,0,0
873707,357,331,1000000.0,0.0,0.0,2.0,0.0,0,0,0,0
1188271,256,229,0.140999875,5406324.5,117.523396,7637759.0,98700000.0,98700000,1,98700000,0
1785927,-1,-1,64.95826432,3121.2,5261.61941,20526.0,0.0,0,1,0,0
307906,-1,-1,19047.619047619,1009.2,1542857.14285714,70.0,0.0,0,48,0,0
1092770,0,229,0.578698632,402197.16,116.1530827,2016017.6,12100000.0,12100000,2,12100000,0
1133683,0,229,0.781259867,0.0,4.687559205,1535980.6,7653250.0,7653250,383,7653250,0
1980320,-1,-1,66.48052121,5461.3335,7578.779418,30084.0,0.0,0,0,0,0
345064,0,0,76923.0769230769,0.0,461538.461538462,17.333334,0.0,0,1,0,0
951103,65535,352,9950.248756,0.0,0.0,201.0,0.0,0,0,0,0
102554,32,65535,73.0854653310975,66787.914,7974.43632834863,14487.471,0.0,0,4,0,0
1858742,29,8192,1.838473552,8.571428,3.676947104,652715.4,0.0,0,1216322,0,0
168611,-1,-1,64.8413817698455,1306.8,5057.62777804795,20563.0,0.0,0,3,0,0
1564265,-1,65535,2424.242424,456.33334,44848.48485,825.0,0.0,0,0,0,0
850236,-1,62947,111111.1111,0.0,0.0,18.0,0.0,0,0,0,0
274277,12501,8192,3.14571749884002,233917.86,869.39767374191,339085.34,0.0,0,48,0,0
1036918,-1,32,750000.0,156.25,10800000.0,2.0,0.0,0,0,0,0
29994,243,29200,35.5089205066235,423147.88,16902.2461611528,30039.4,0.0,0,47,0,0
248197,-1,-1,126.202871115318,1228.8,8581.79523584161,10565.0,0.0,0,3,0,0
744638,10240,8192,1.289498882,238121.1,373.5678261,816310.56,9982681.0,9982681,203,9982681,0
1902938,-1,-1,56.13089725,5880.0,6118.267801,23754.0,0.0,0,3,0,0
394865,-1,-1,64.8088139987038,3434.7,5800.38885288399,20573.334,0.0,0,189,0,0
140324,-1,-1,15503.8759689923,2270.7,1139534.88372093,86.0,0.0,0,48,0,0
501634,-1,-1,75.44322897,613.6111,5092.417955,15148.571,0.0,0,3,0,0
1962965,117,29200,1.326343754,465822.4,384.3554723,811948.7,9999051.0,9999051,38,9999051,0
1045577,-1,-1,20512.82051,720.3,1179487.179,65.0,0.0,0,0,0,0
771668,69,342,0.217072558,0.0,0.0,4807048.5,10000000.0,10000000,10000000,10000000,0
49897,-1,118,750000.0,450.25,19000000.0,2.0,0.0,0,0,0,0
1832339,-1,-1,16666.66667,2940.3,1475000.0,80.0,0.0,0,48,0,0
1583611,508,8192,0.347459337,214827.33,126.3097418,3021936.2,0.0,0,49,0,0
364721,-1,-1,0.896329619839718,6627.0,107.111389570846,2231322.0,0.0,0,0,0,0
9593,290,29200,0.396647102378881,311209.6,107.111244604897,2630747.2,58351988.0,58351988,1,58351988,0
859338,30016,8192,1.564178159,22281.697,105.2265307,703244.7,0.0,0,282,0,0
292512,-1,-1,42.618479372656,3136.3333,4112.6832594613,46928.0,0.0,0,0,0,0
775516,136,29200,0.598120727,313730.1,160.8459794,1718345.0,10000000.0,10000000,2044,10000000,0
579364,-1,8192,0.333362706,0.0,0.0,4499603.5,6000357.0,6000357,0,6000357,0
556425,-1,-1,15810.27668,3182.7,1288537.549,84.333336,0.0,0,48,0,0
335276,127,237,60.3955911218481,0.0,362.373546731089,33115.0,0.0,0,0,0,0
1907249,-1,-1,49.98125703,158.7,2873.922279,26676.666,0.0,0,3,0,0
1956217,-1,-1,21.52435481,0.0,1033.169031,92918.0,0.0,0,0,0,0
1950766,-1,-1,17167.38197,4915.2,2180257.511,77.666664,0.0,0,49,0,0
1481650,-1,-1,28.00453673,5896.3335,3038.492236,71417.0,0.0,0,0,0,0
1877778,-1,-1,33.20273591,1045.3334,2722.624344,60236.0,0.0,0,0,0,0
300253,-1,254,2000000.0,0.0,12000000.0,1.0,0.0,0,0,0,0
1577528,791,8192,0.448568916,3096909.5,330.8407346,2272183.2,58800000.0,58900000,1,58600000,0
506885,939,29200,0.259723626,109604.46,19.39269742,3983013.8,10200000.0,10200000,898,10000000,0
779784,5565,64982,0.143165077,470.23334,4.151787242,7858061.5,57900000.0,57900000,58100000,57900000,0
1816769,-1,237,14285.71429,0.0,0.0,140.0,0.0,0,0,0,0
758699,383,29200,0.379759577,412590.8,94.00775723,2694483.2,10000000.0,10000000,49,9997580,0
1997283,6494,29200,0.492350889,228369.05,144.6925483,2080610.1,9783299.0,10000000,5,9037126,0
1263630,31,8192,0.758095127,487026.3,461.0510581,1334257.8,9646280.0,10000000,1,5800137,0
1971841,-1,30368,9836.065574,240.25,101639.3443,152.5,0.0,0,0,0,0
1918229,-1,-1,11.86992931,27456.334,2451.140403,168493.0,0.0,0,0,0,0
829352,29200,8192,0.755356041,0.0,0.0,1765172.0,0.0,0,0,0,0
99244,-1,33225,9.94109898849318,120.14286,48.0486451110504,120711.0,0.0,0,0,0,0
1800045,2051,253,0.222115335,9.428572,0.666346006,4739121.5,30000000.0,30000000,3,30000000,0
46266,-1,257,173.973556019485,0.0,0.0,11496.0,0.0,0,0,0,0
261062,-1,-1,15873.0158730159,12484.8,2222222.22222222,84.0,0.0,0,3,0,0
761149,-1,32160,25.29932261,0.0,0.0,52702.332,0.0,0,0,0,0
618142,-1,-1,15.37739984,3499.2,1506.985184,86707.336,0.0,0,3,0,0
403572,-1,-1,0.053564566567847,228.7,3.88343107616892,24892078.0,74602980.0,74602976,74639327,74602976,0
1963282,-1,63735,13793.10345,0.0,82758.62069,145.0,0.0,0,0,0,0
1231750,60,8192,2.277543162,235500.4,594.4387652,475658.75,5495862.0,5495862,234,5495862,0
343134,-1,-1,79.9872020476724,2218.8,6718.92497200448,16669.334,0.0,0,3,0,0
2027624,-1,253,23.22592633,156.25,332.904944,64583.0,0.0,0,0,0,0
1441200,-1,320,18181.81818,0.0,109090.9091,110.0,0.0,0,0,0,0
1504797,0,70,115.3375931,10.8,415.2153353,10837.75,0.0,0,2,0,0
1904522,2053,8192,20912.54753,11562.151,1707224.335,52.6,0.0,0,47,0,0
1024025,60,8192,1.757695778,26242.9,151.7477355,640042.5,0.0,0,67102,0,0
52634,-1,-1,16.1903990933377,2945.3333,1538.08791386708,123530.0,0.0,0,0,0,0
400753,-1,-1,20725.3886010363,1825.2,1450777.20207254,64.333336,0.0,0,48,0,0
2033352,33,29200,3.044913272,249034.88,771.9656438,346661.94,5103553.0,5103553,48,5103553,0
1726211,-1,-1,65.95762223,504.3,3594.690411,20215.0,0.0,0,4,0,0
202637,946,8192,0.25851061316184,7144.413,6.60063765606566,4001703.2,9984887.0,10010295,312,9801498,0
978375,339,361,34090.90909,0.0,0.0,44.0,0.0,0,0,0,0
1719432,-1,-1,168.4139615,1153.2,11283.73542,7917.0,0.0,0,4,0,0
1975356,16616,8192,0.292337655,151585.19,36.78295549,3524359.8,10000000.0,10200000,51077,9999516,0
1601285,1006,29200,0.353507013,102210.29,39.33412177,2899518.2,10000000.0,10000000,48,9999097,0
1255661,340,29200,0.348104139,226574.31,69.68136757,3003281.0,10200000.0,10200000,65,10000000,0
587078,-1,-1,43.04407713,8167.5,5358.987603,30976.0,0.0,0,4,0,0
35084,340,29200,79.3220607871393,4680.143,2392.8821670787,15128.2,0.0,0,38537,0,0
1559624,-1,116,5208.333333,0.0,31250.0,384.0,0.0,0,0,0,0
258107,-1,256,4629.62962962963,0.0,27777.7777777778,432.0,0.0,0,0,0,0
1792149,-1,-1,21621.62162,2764.8,1794594.595,61.666668,0.0,0,3,0,0
1943311,982,8192,0.345761751,147789.58,57.40509471,2966323.0,9590290.0,10000000,48,5284378,0
1664292,16360,119,22727.27273,0.0,136363.6364,88.0,0.0,0,0,0,0
1293051,-1,-1,1.004867579,1008.3333,72.85289944,1990312.0,0.0,0,0,0,0
1799644,-1,-1,65.05334374,5227.2,7220.921155,20496.0,0.0,0,4,0,0
1735105,-1,-1,169.8585927,607.5,9597.010489,7849.6665,0.0,0,2,0,0
2026498,11,29200,1.934440068,21900.334,134.707372,568640.0,5564794.0,5564794,734,5564794,0
1794668,-1,-1,25.23298456,3040.238,2010.22777,47556.8,0.0,0,4,0,0
1659676,-1,-1,123.904222,940.8,9292.816653,10761.0,0.0,0,12,0,0
536351,340,29200,0.257891657,36174.72,12.63669117,4011307.5,10000000.0,10000000,21317,9998630,0
1684547,-1,-1,71.81328546,6095.2383,6487.133453,16710.0,0.0,0,4,0,0
1006884,-1,-1,79.71779899,76.8,3746.736553,16725.666,0.0,0,3,0,0
2029874,333,358,142857.1429,0.0,0.0,14.0,0.0,0,0,0,0
800178,-1,5678,4672.897196,705.3333,107476.6355,428.0,0.0,0,0,0,0
1577903,-1,-1,4608.294931,85.333336,267281.106,434.0,0.0,0,0,0,0
1662548,0,254,253.9102173,397.5,4824.29413,4923.0,0.0,0,0,0,0
1941009,288,8192,0.259774298,25569.645,11.43872826,3982236.8,9977498.0,9997856,707,9796857,0
916344,-1,-1,25.16430192,10802.143,2793.237513,47686.6,0.0,0,3,0,0
1680396,-1,-1,98.21253192,857.1429,5499.901787,12218.4,0.0,0,49,0,0
96121,30,8192,1.77397472637918,5988.622,92.2466857717174,634169.1,0.0,0,42012,0,0
1925104,349,29200,2.740499874,245854.92,795.4757636,390961.0,5317014.0,5317014,47,5317014,0
304509,-1,-1,70.3865983916662,3830.7,6933.07994157912,18943.0,0.0,0,3,0,0
728914,-1,-1,87.14976687,85.333336,5054.686479,22949.0,0.0,0,0,0,0
391040,343,26064,37735.8490566038,0.0,0.0,53.0,0.0,0,0,0,0
725357,-1,-1,74.26110203,85.333336,4232.882816,26932.0,0.0,0,0,0,0
570778,-1,-1,20100.50251,76.8,1145728.643,66.333336,0.0,0,49,0,0
859032,-1,-1,82.28759515,1116.3,6130.425838,16203.333,0.0,0,3,0,0
201159,147,469,113.157373617358,472.8,2178.27944213415,11783.0,0.0,0,0,0,0
31943,0,974,12931.0344827586,391.33334,185344.827586207,116.0,0.0,0,0,0,0
1271963,-1,-1,39.6000396,261.33334,2415.602416,50505.0,0.0,0,0,0,0
1142001,256,8192,54.73154179,19200000.0,106060.6061,21925.2,0.0,0,100,0,0
1319148,229,235,0.120560719,6079156.0,120.4803457,9048628.0,99400000.0,99400000,2,99400000,0
744114,-1,-1,41.1285679,1045.3334,3372.542568,48628.0,0.0,0,0,0,0
1287621,4380,29200,0.672596162,0.0,0.0,1982368.4,0.0,0,0,0,0
618354,-1,126,14354.06699,240.25,148325.3589,104.5,0.0,0,0,0,0
1855772,-1,-1,165.9544455,2484.3,13193.37842,8034.3335,0.0,0,3,0,0
517914,-1,-1,33.91152483,85.333336,2000.779965,58977.0,0.0,0,0,0,0
880491,-1,-1,19.02364322,275.2381,748.2632999,63079.4,0.0,0,3,0,0
1788305,4870,8192,1.62948371,490126.06,865.2558498,618013.06,9068557.0,9999506,3,5751577,0
280112,35,29200,1.19672598663944,175475.12,309.067493940794,873595.56,7868195.0,10149832,3,5586558,0
1108999,0,229,1.092155936,0.0,6.552935615,1098744.2,5473075.0,5473075,1,5473075,0
1845132,-1,-1,122.8476075,1448.5714,7739.399275,9768.2,0.0,0,3,0,0
439194,777,349,34482.7586206897,0.0,0.0,58.0,0.0,0,0,0,0
889740,-1,-1,28.82945217,8772.3,3502.778438,46249.0,0.0,0,3,0,0
710213,33304,122,11560.69364,0.0,0.0,173.0,0.0,0,0,0,0
1737657,-1,-1,76.37960665,2148.8096,5015.59417,15711.0,0.0,0,4,0,0
1150022,126,237,8.340492256,0.0,50.04295354,239794.0,0.0,0,0,0,0
716113,-1,43800,19.31172994,0.0,0.0,103564.0,0.0,0,0,0,0
821768,-1,-1,43.0468565,5208.3335,4627.537074,46461.0,0.0,0,0,0,0
974785,-1,-1,20000.0,3121.2,1620000.0,66.666664,0.0,0,4,0,0
538738,-1,-1,14760.1476,19660.8,2302583.026,90.333336,0.0,0,48,0,0
489083,-1,-1,21390.37433,4915.2,2203208.556,62.333332,0.0,0,48,0,0
546432,-1,256,11049.72376,0.0,66298.34254,181.0,0.0,0,0,0,0
434522,30,255,131.345636041243,0.0,788.073816247455,15227.0,0.0,0,0,0,0
669182,-1,260,19230.76923,0.0,0.0,104.0,0.0,0,0,0,0
1285475,-1,-1,10.11004787,85.333336,626.822968,197823.0,0.0,0,0,0,0
1502157,28960,29200,0.658347892,0.0,0.0,2025271.6,0.0,0,0,0,0
1889473,-1,-1,0.073495245,3418.7,6.779936313,18100000.0,54400000.0,54400000,54400000,54400000,0
307837,254,372,62500.0,0.0,0.0,32.0,0.0,0,0,0,0
544642,250,245,53571.42857,0.0,321428.5714,28.0,0.0,0,48,0,0
1824212,-1,-1,130.6805188,874.8,7840.831128,10203.0,0.0,0,48,0,0
879623,1022,65535,47.01878512,286021.56,13118.24105,22331.5,0.0,0,4,0,0
408735,-1,-1,0.068183195598591,7257.75,7.6535637059418,16761566.0,117330580.0,117330574,3,117330574,0
700648,-1,-1,22.08578117,1083.0,1888.33429,90556.0,0.0,0,0,0,0
1554300,-1,-1,63.17917614,85.333336,3222.137983,31656.0,0.0,0,0,0,0
154180,113,65535,76.0340632603406,116476.61,13847.7037712895,15030.857,0.0,0,2136,0,0
1277106,31,8192,1.379676229,188391.33,413.5349549,776579.7,0.0,0,68,0,0
1515884,0,33,21.06340084,1146.2142,324.9781843,55388.332,0.0,0,149224,0,0
679208,129,361,0.143779148,388.32224,3.834110622,7824500.5,58400000.0,58400000,58500000,58400000,0
1541251,-1,-1,56.68452229,2760.3333,5073.264745,35283.0,0.0,0,0,0,0
277224,293,0,111.562318711232,0.0,669.373912267393,11204.5,0.0,0,44691,0,0
1116448,256,229,0.205990552,1546638.2,141.3943382,5158003.5,41000000.0,72200000,1,9887607,0
903164,308,33,90909.09091,0.0,0.0,22.0,0.0,0,0,0,0
535378,-1,-1,18181.81818,4915.2,2581818.182,73.333336,0.0,0,4,0,0
903267,0,29200,0.495288099,335495.34,127.9494256,2082121.5,10000000.0,10000000,46,10000000,0
72748,31088,8192,0.430292919422438,168207.5,85.6779401480754,2416958.2,9971083.0,10000583,48,9826413,0
1260309,65535,29200,39.25477,1055892.0,12140.62803,26973.117,0.0,0,1,0,0
404968,251,74,35714.2857142857,0.0,0.0,56.0,0.0,0,0,0,0
339969,-1,-1,17857.1428571429,940.8,1089285.71428571,74.666664,0.0,0,3,0,0
