Init Bwd Win Bytes,Init Fwd Win Bytes,Flow Packets/s,Packet Length Variance,Flow Bytes/s,Flow IAT Mean,Idle Mean,Idle Max,Bwd IAT Min,Idle Min,Label
236,237,44444.44444,0,0,45,0,0,0,0,2
229,8192,4.863101005,3625073.8,6285.828221,231333.88,0,0,3,0,3
235,256,0.14538119998559795,2365865.5424444797,121.91318077118557,7405441.928303717,97900000,97900000,11,97900000,4
229,8192,11.278478347828987,7025604.5,16400.31732424895,101332.87518268773,0,0,3,0,3
235,0,205.6661011,15.2,1182.580081,6483,0,0,19353,0,4
28960,29200,0.785525283,0,0,1697378,0,0,0,0,2
-1,-1,32.875550324771396,1103.0211061349598,2524.3471701275685,60841.47009830345,0,0,0,0,0
28960,29200,0.766054736,0,0,1740519.6,0,0,0,0,6
-1,-1,169.8585927,607.5,9597.010489,7849.6665,0,0,2,0,0
235,251,0.163713794,2030518.8,139.4724587,6578084,85300000,85300000,16,85300000,4
227,29200,2.719399392724203,159.70677540838005,33.352370134027126,383716.4779786256,0,0,3,0,1
251,259,29437.63622169345,0,0,68.02761832406914,0,0,0,0,1
0,29200,0.054339719,10.8,0.163019156,24500000,73600000,73600000,73600000,73600000,5
28960,29200,0.7311247037057127,0,0,1823674.3193053377,0,0,0,0,6
28960,29200,0.7058331399023648,0,0,1889020.6315896066,0,0,0,0,6
28960,29200,0.669704222,0,0,1990928.6,0,0,0,0,6
0,29200,0.054355003,10.8,0.163065009,24500000,73600000,73600000,73600000,73600000,5
0,229,1.437904899,0,8.627429392,811365.7,0,0,0,0,0
-1,-1,40.35356229525499,261.33334,2922.2201970777674,49562.93427913462,0,0,0,0,0
229,256,0.178419513,2667024.5,148.5597327,6035904,39200000,68600000,46,9863909,3
29200,1024,7772.020725,4,25906.73575,193,0,0,0,0,5
229,8192,4.518993089376793,3923213,6567.791582019239,253258.0322474246,0,0,167,0,3
237,8192,49.52631616,5843.4287,2433.86468,23556.5,0,0,559,0,1
28960,29200,5006.257822,0,0,266.33334,0,0,0,0,5
247,29200,4.293419763484743,35944.473,385.03064410080134,237393.7097555244,0,0,3,0,1
28960,29200,0.693770668,0,0,1921864.6,0,0,0,0,2
28960,29200,0.795607768,0,0,1675867.6,0,0,0,0,6
235,165,0.13040399006284267,2779828.4559835186,119.57534054372353,8307519.020391162,99531777.09404653,99531777,45,99531777,4
235,218,0.1316492224317225,2132564.4750789213,121.00779858314982,8228938.360973629,98679878.32357736,98679878,23,98679878,4
28960,29200,0.68435824,0,0,1948297.4,0,0,0,0,2
227,29200,2.844731694604272,156.55577270287586,34.44454006015766,366810.80434896814,0,0,3,0,1
247,29200,4.4772074292503055,34909.06,386.91212563531394,227489.7342153978,0,0,3,0,1
28960,29200,0.764247143,0,0,1744636.4,0,0,0,0,2
247,29200,3.988866697,35944.473,357.7185549,255518.89,0,0,4,0,1
